X,Y,Escolas,alunos,icon_url
-53.0531381,-26.0811184,"Rua das Violetas, s/n - São Pio X – KM 20, Francico Beltrão, Paraná",199,./0.png
-53.0439828,-26.064853,"Rua: Venezuela, 300, Francico Beltrão, Paraná",293,./0.png
-53.0789606,-26.0635216,"Rua Aurélio Buarque de Holanda – 454, Francico Beltrão, Paraná",260,./0.png
-53.0531381,-26.0811184,"Rua: São Judas Tadeu, 299, Francico Beltrão, Paraná",273,./0.png
-53.0515562,-26.0340372,"Rua: Ardelino Martini, 870, Francico Beltrão, Paraná",369,./0.png
-53.0731491,-26.0794576,"Rua: Enéas Marques, 155, Francico Beltrão, Paraná",186,./0.png
-53.0739451,-26.0695477,"Rua: São Miguel, n°550, Francico Beltrão, Paraná",639,./0.png
-53.0486848,-26.0753481,"Rua: Bahia, 66, , Francico Beltrão, Paraná",357,./0.png
-53.0613856,-26.0803261,"Rua: Goiás, 450, Francico Beltrão, Paraná",455,./0.png
-53.0337929,-26.0722397,"Rua: Alameda Gralha Azul, 50, Francico Beltrão, Paraná",414,./0.png
-53.059979,-26.0698395,"Rua: Pe. Manoel da Nóbrega, 136, Francico Beltrão, Paraná",271,./0.png
-53.0443082,-26.045832,"Rua: Capinzal, 424, Francico Beltrão, Paraná",488,./0.png
-53.0590338,-26.044592,"Rua: Angra dos Reis, 180, Francico Beltrão, Paraná",957,./0.png
-53.0437817,-26.0888032,"Rua: Ver. Romeu Lauro Werlang, 2414, Francico Beltrão, Paraná",314,./0.png
-53.0661097,-26.05053,"Rua: Odosio Dalla Maria. 221 –Bairro Cantelmo, Francico Beltrão, Paraná",152,./0.png
-53.0426715,-26.0609739,"Rua: Mandaguari, 230 – Bairro Luther King, Francico Beltrão, Paraná",147,./0.png
-53.0453472,-26.0866396,"Rua: Campo Largo, 570 Bairro: Industrial, Francico Beltrão, Paraná",76,./0.png
-53.064136,-26.0666419,"Rua: Prudente Albuquerque, 201, Francico Beltrão, Paraná",134,./0.png
-53.0307243,-26.0746167,"Rua: Trevessa Alegrete, nº 99, Francico Beltrão, Paraná",75,./0.png
-53.055563,-26.0468122,"Rua: Barra Mansa, 161, Francico Beltrão, Paraná",136,./0.png
-53.0789138,-26.0627287,"Rua: Tabajara c/ Aguinaldo Silva, 414, Francico Beltrão, Paraná",101,./0.png
-53.0653817,-26.0787006,"Rua: Antonio Carneiro Neto, 427 Bairro: Alvorada, Francico Beltrão, Paraná",98,./0.png
-53.0362589,-26.0658028,"Rua: Das Gaivotas, 215, Francico Beltrão, Paraná",92,./0.png
-53.0477821,-26.0671087,"Rua: São Marcos, 123, Francico Beltrão, Paraná",118,./0.png
-53.059228,-26.0449382,"Rua: Angra dos Reis, 828, Francico Beltrão, Paraná",155,./0.png
-53.0467746,-26.048374,"Rua: Piratuba, 141, Francico Beltrão, Paraná, Francico Beltrão, Paraná",149,./0.png
-53.0593194,-26.080149,"Rua: Rio Grande do Sul, 785, Francico Beltrão, Paraná",107,./0.png
-53.0641981,-26.0805572,"Rua: Niteroi, 522, Francico Beltrão, Paraná",162,./0.png
-53.0567459,-26.0811442,"Rua: Sergipe 1047, Francico Beltrão, Paraná",,./0.png
-53.0399739,-26.0524476,"Rua: Siriema, 300, Francico Beltrão, Paraná",729,./0.png
-53.2886728,-26.052811,"Avenida José Hellmann, s/n - Jacutinga",148,./0.png
-53.083661,-26.00697,Rio Tuna – PR 180,137,./0.png
-53.174983,-26.133125,Fazenda Marrecas – Assentamento Missões,108,./0.png
-53.322124,-25.969274,Ponte Nova do Cotegipe,97,./0.png
-52.965298,-26.046368,Seçção Jacaré,153,./0.png
